id,tier,opportunity_name,opportunity_type,target_url,submit_or_contact_url,relevance_to_toy_sellers,login_or_pay_requirements,link_type,evidence_timestamp,recommended_pitch_angle,status,do_not_claim,source_url
TV-13,T2,Rotofugi Blog 设计师玩具画廊,toy_blog_outreach,https://rotofugi.com/blogs/news,cold outreach only,high - 顶级设计师玩具零售商 DA48 41K IG,需真实社区参与/合作关系,partner mention link,2026-07-28,争取Rotofugi Gallery展会合作,cold_outreach_only,no guaranteed partnership,https://rotofugi.com/blogs/news
TV-14,T2,FluxNote Blog Etsy视频对比,comparison_blog,https://fluxnote.io/guides/,cold outreach only,high - Etsy/独立零售AI工具博客 发布Etsy视频生成器对比,编辑审核;需真实对比数据,comparison article link,2026-07-28,提供Pikbo对比数据 突出专注Etsy潮玩收藏品差异化,cold_outreach_only,no guaranteed inclusion,https://fluxnote.io/guides/best-ai-video-generator-for-etsy-listings
TV-15,T2,HeyGen Blog AI视频工具对比,comparison_blog,https://www.heygen.com/blog/,cold outreach or via G2 presence,high - 领先AI视频平台博客 G2 4.8 行业影响力高,编辑审核;可能需要G2等平台评价背书,comparison article link,2026-07-28,先在G2等平台建立评价 自然进入对比视野,cold_outreach_only,no guaranteed inclusion,https://www-redesign.heygen.com/blog/best-ai-video-tools-ecommerce-product-videos
TV-16,T2,AdStellar Blog 视频生成器对比,comparison_blog,https://www.adstellar.ai/blog/,cold outreach only,high - 广告优化平台博客 定期发布9款工具对比,编辑审核,comparison article link,2026-07-28,Pitch Pikbo作为niche-specific Etsy玩具卖家工具,cold_outreach_only,no guaranteed inclusion,https://www.adstellar.ai/blog/ecommerce-product-video-generator
TV-17,T2,NemoVideo Blog 电商视频软件对比,comparison_blog,https://www.nemovideo.com/blog/,cold outreach only,medium - 电商视频编辑工具博客 8款工具横向对比,编辑审核,comparison article link,2026-07-28,提供URL-to-video速度数据+Etsy卖家适配性,cold_outreach_only,no guaranteed inclusion,https://www.nemovideo.com/blog/best-video-editing-software-for-e-commerce
TV-18,T3,ToysInAStudio玩具摄影博客,content_collab,https://www.toysinastudio.com/,cold outreach after producing own content,high - 专注玩具摄影技巧 受众与Pikbo目标用户高度重叠,需双方内容价值对等,reciprocal citation,2026-07-28,先在Pikbo博客产出高质量指南后互推,long_cycle,requires original content first,https://www.toysinastudio.com/
TV-19,T3,Scott Kelby摄影大师博客,guest_post,https://scottkelby.com/,cold outreach with professional pitch,medium - 全球摄影教育第一人博客 有玩具摄影guest post历史先例,内容质量极高;需专业摄影水准,guest post author link,2026-07-28,"How AI-Assisted Video Creation Is Changing Toy Product Photography",long_cycle,requires professional photography content,https://scottkelby.com/guest-blog-toy-photographer-dave-debaeremaeker/
TV-20,T3,ActionFigureManiacs玩具社区,community_engagement,https://actionfiguremaniacs.com/,community participation first,high - 活跃玩具收藏/摄影社区 有博客+论坛,社区文化敏感;禁止硬广告;需先建立信任,community content link,2026-07-28,以爱好者身份分享照片到视频创作经验,long_cycle,requires community trust first,https://actionfiguremaniacs.com/
TV-21,T3,ShotBG产品摄影指南,content_collab,https://shotbg.com/,cold outreach,medium - 2026年发布玩具收藏品摄影完整指南 与摄影→视频流程衔接,需先产出高质量摄影指南内容,reciprocal citation,2026-07-28,产出How to Turn Toy Photography into Etsy Listing Videos后互推,long_cycle,requires original content first,https://shotbg.com/resources/toy-collectibles-product-photography-complete-guide-2026
TV-22,T3,PopCollectorWorld潮玩收藏资源站,resource_listing,https://www.popcollectorworld.com/resources,website contact form or social DM,high - 潮玩收藏家资源页 整理设计师玩具画廊活动社区品牌,需确认页面是否仍更新,resource page link,2026-07-28,以toy seller tool身份请求加入资源页,long_cycle,may not update regularly,https://www.popcollectorworld.com/resources
TV-23,T3,Podbul Blog Etsy listing视频指南,comparison_blog,https://podbul.com/en/,cold outreach only,medium - 发布Etsy Listing Videos with AI指南 对比6款视频工具,编辑审核;需真实对比数据,comparison article link,2026-07-28,定位为唯一专注Etsy潮玩场景的AI视频方案,long_cycle,no guaranteed inclusion,https://podbul.com/en/how-to-create-etsy-listing-videos-with-ai-2026-2
